Fichier, Temps Naif (Âµs), Temps Welzl (Âµs)
test-236.points, 104977, 10
test-237.points, 85054, 14
test-238.points, 122226, 28
test-239.points, 136088, 25
test-24.points, 97609, 36
test-240.points, 110283, 20
test-241.points, 98532, 39
test-242.points, 85958, 17
test-243.points, 103908, 35
test-244.points, 140223, 23
test-245.points, 109190, 19
test-246.points, 118181, 17
test-247.points, 95708, 12
test-248.points, 97398, 12
test-249.points, 118940, 19
test-25.points, 112907, 23
test-250.points, 118587, 26
test-251.points, 102395, 20
test-252.points, 104864, 29
test-253.points, 120281, 21
test-254.points, 108616, 24
test-255.points, 107138, 26
test-256.points, 105679, 31
test-257.points, 108952, 22
test-258.points, 121160, 32
test-259.points, 107520, 30
test-26.points, 99268, 35
test-260.points, 105560, 22
test-261.points, 95598, 16
test-262.points, 106543, 30
test-263.points, 115264, 40
test-264.points, 134202, 38
test-265.points, 115738, 24
test-266.points, 108771, 16
test-267.points, 94839, 39
test-268.points, 112107, 18
test-269.points, 94187, 37
test-27.points, 114488, 17
test-270.points, 113039, 35
test-271.points, 125748, 21
test-272.points, 91896, 42
test-273.points, 102663, 12
test-274.points, 92228, 14
test-275.points, 102926, 18
test-276.points, 93720, 20
test-277.points, 95146, 21
test-278.points, 86630, 12
test-279.points, 104902, 21
test-28.points, 136518, 59
test-280.points, 106815, 12
test-281.points, 121063, 19
test-282.points, 93986, 24
test-283.points, 101415, 38
test-284.points, 87425, 22
test-285.points, 109172, 16
test-286.points, 113755, 18
test-287.points, 102118, 29
test-288.points, 118229, 40
test-289.points, 110125, 19
test-29.points, 113218, 20
test-290.points, 95491, 37
test-291.points, 111563, 36
test-292.points, 110531, 19
test-293.points, 105171, 22
test-294.points, 128132, 28
test-295.points, 85591, 8
test-296.points, 103817, 21
test-297.points, 96110, 19
test-298.points, 93230, 22
test-299.points, 120706, 23
test-3.points, 111459, 23
test-30.points, 100503, 16
test-300.points, 91069, 25
test-301.points, 114218, 29
test-302.points, 120754, 24
test-303.points, 99445, 29
test-304.points, 98560, 41
test-305.points, 97679, 23
test-306.points, 109855, 15
test-307.points, 97462, 10
test-308.points, 112792, 15
test-309.points, 107824, 17
test-31.points, 109225, 24
test-310.points, 91678, 16
test-311.points, 126274, 16
test-312.points, 105270, 12
test-313.points, 125560, 37
test-314.points, 122486, 27
test-315.points, 103798, 18
test-316.points, 86710, 10
test-317.points, 92071, 12
test-318.points, 133376, 30
test-319.points, 102859, 40
test-32.points, 102784, 17
test-320.points, 97720, 17
test-321.points, 115526, 41
test-322.points, 121977, 19
test-323.points, 109399, 16
test-324.points, 109105, 13
test-325.points, 95405, 19
test-326.points, 110336, 19
test-327.points, 106800, 16
test-328.points, 101515, 13
test-329.points, 128321, 36
test-33.points, 98756, 30
test-330.points, 121945, 22
test-331.points, 108180, 15
test-332.points, 102178, 24
test-333.points, 103648, 16
test-334.points, 142481, 12
test-335.points, 113564, 32
test-336.points, 111499, 41
test-337.points, 92551, 31
test-338.points, 90677, 32
test-339.points, 114025, 49
test-34.points, 99349, 20
test-340.points, 113172, 17
test-341.points, 91116, 16
test-342.points, 107782, 18
test-343.points, 114499, 26
test-344.points, 95344, 48
test-345.points, 98823, 10
test-346.points, 102297, 18
test-347.points, 124320, 19
test-348.points, 103413, 26
test-349.points, 111451, 36
test-35.points, 85121, 13
test-350.points, 89498, 12
test-351.points, 104065, 48
test-352.points, 118859, 19
test-353.points, 102905, 23
test-354.points, 115034, 17
test-355.points, 94867, 18
test-356.points, 93252, 17
test-357.points, 99783, 14
test-358.points, 126140, 47
test-359.points, 123786, 31
test-36.points, 130335, 20
test-360.points, 99200, 12
test-361.points, 120557, 49
test-362.points, 131907, 39
test-363.points, 101369, 14
test-364.points, 89681, 25
test-365.points, 92431, 21
test-366.points, 107102, 22
test-367.points, 100594, 18
test-368.points, 107508, 17
test-369.points, 102417, 16
test-37.points, 127552, 30
test-370.points, 94638, 29
test-371.points, 85207, 11
test-372.points, 107796, 27
test-373.points, 133470, 19
test-374.points, 168019, 22
test-375.points, 97384, 29
test-376.points, 115743, 28
test-377.points, 116541, 50
test-378.points, 119888, 22
test-379.points, 132759, 45
test-38.points, 115896, 13
test-380.points, 155065, 31
test-381.points, 90179, 24
test-382.points, 93691, 17
test-383.points, 105606, 33
test-384.points, 108417, 28
test-385.points, 99061, 27
test-386.points, 119980, 18
test-387.points, 100985, 14
test-388.points, 98341, 36
test-389.points, 87736, 21
test-39.points, 127113, 34
test-390.points, 138884, 31
test-391.points, 98500, 28
test-392.points, 97637, 26
test-393.points, 110162, 31
test-394.points, 92333, 10
test-395.points, 121360, 41
test-396.points, 104491, 18
test-397.points, 95909, 21
test-398.points, 97391, 38
test-399.points, 98352, 12
test-4.points, 134406, 44
test-40.points, 132959, 31
test-400.points, 117587, 18
test-401.points, 113818, 15
test-402.points, 93343, 9
test-403.points, 96827, 16
test-404.points, 105527, 25
test-405.points, 100821, 11
test-406.points, 108976, 17
test-407.points, 116104, 21
test-408.points, 114497, 38
test-409.points, 104473, 32
test-41.points, 106131, 28
test-410.points, 98079, 28
test-411.points, 94198, 15
test-412.points, 105049, 15
test-413.points, 98109, 31
test-414.points, 129357, 51
test-415.points, 102336, 34
test-416.points, 112644, 31
test-417.points, 102303, 15
test-418.points, 98511, 22
test-419.points, 108538, 17
test-42.points, 103395, 21
test-420.points, 91819, 21
test-421.points, 120228, 14
test-422.points, 116519, 30
test-423.points, 100833, 26
test-424.points, 118437, 25
test-425.points, 92211, 14
test-426.points, 135824, 35
test-427.points, 115097, 27
test-428.points, 89032, 12
test-429.points, 99593, 23
test-43.points, 95124, 20
test-430.points, 87447, 14
test-431.points, 116690, 37
test-432.points, 128916, 19
test-433.points, 88280, 24
test-434.points, 167484, 36
test-435.points, 104855, 30
test-436.points, 121726, 32
test-437.points, 96773, 12
test-438.points, 84295, 8
test-439.points, 100628, 20
test-44.points, 107209, 55
test-440.points, 105030, 9
test-441.points, 96418, 24
test-442.points, 113143, 32
test-443.points, 113827, 20
test-444.points, 120224, 27
test-445.points, 102409, 17
test-446.points, 117692, 26
test-447.points, 87852, 32
test-448.points, 97448, 29
test-449.points, 122274, 22
test-45.points, 111338, 24
test-450.points, 100894, 52
test-451.points, 106696, 37
test-452.points, 123943, 17
test-453.points, 123810, 22
test-454.points, 102886, 22
test-455.points, 89570, 35
test-456.points, 112447, 20
test-457.points, 91056, 8
test-458.points, 119530, 21
test-459.points, 114720, 22
test-46.points, 151337, 25
test-460.points, 88664, 18
test-461.points, 102066, 15
test-462.points, 122051, 22
test-463.points, 136968, 26
test-464.points, 91633, 18
test-465.points, 96981, 26
test-466.points, 117624, 20
test-467.points, 98340, 19
test-468.points, 125063, 23
test-469.points, 112891, 20
test-47.points, 125476, 19
test-470.points, 137339, 53
test-471.points, 100370, 12
test-472.points, 122804, 22
test-473.points, 115766, 23
test-474.points, 120783, 23
test-475.points, 120290, 39
test-476.points, 103082, 18
test-477.points, 96939, 13
test-478.points, 102124, 10
test-479.points, 117727, 26
test-48.points, 113853, 20
test-480.points, 118322, 15
test-481.points, 105022, 38
test-482.points, 99526, 17
test-483.points, 121104, 13
test-484.points, 103618, 18
test-485.points, 119474, 32
test-486.points, 134823, 31
test-487.points, 109091, 16
test-488.points, 117508, 18
test-489.points, 88781, 19
test-49.points, 102689, 25
test-490.points, 111267, 25
test-491.points, 96044, 39
test-492.points, 118614, 42
test-493.points, 87544, 22
test-494.points, 119287, 19
test-495.points, 91195, 11
test-496.points, 114614, 26
test-497.points, 91196, 8
test-498.points, 102664, 24
test-499.points, 87586, 10
test-5.points, 96291, 26
test-50.points, 127924, 30
test-500.points, 98249, 22
test-501.points, 134844, 33
test-502.points, 85216, 25
test-503.points, 117184, 25
test-504.points, 115176, 23
test-505.points, 101036, 13
test-506.points, 111124, 12
test-507.points, 103841, 16
test-508.points, 93565, 21
test-509.points, 131741, 36
test-51.points, 120086, 25
test-510.points, 80664, 17
test-511.points, 90505, 16
test-512.points, 125698, 30
test-513.points, 90189, 20
test-514.points, 98177, 19
test-515.points, 102437, 22
test-516.points, 110917, 55
test-517.points, 95543, 16
test-518.points, 99494, 23
test-519.points, 109628, 26
test-52.points, 92218, 9
test-520.points, 145910, 23
test-521.points, 103524, 20
test-522.points, 107318, 28
test-523.points, 115144, 25
test-524.points, 91804, 19
test-525.points, 114169, 20
test-526.points, 88410, 18
test-527.points, 111024, 21
test-528.points, 97691, 24
test-529.points, 118184, 17
test-53.points, 82517, 14
test-530.points, 88472, 27
test-531.points, 98788, 16
test-532.points, 111676, 16
test-533.points, 103527, 20
test-534.points, 109216, 29
test-535.points, 98602, 24
test-536.points, 94890, 22
test-537.points, 112969, 34
test-538.points, 94535, 10
test-539.points, 138263, 26
test-54.points, 94423, 20
test-540.points, 116290, 30
test-541.points, 96229, 22
test-542.points, 122679, 17
test-543.points, 118177, 54
test-544.points, 104259, 22
test-545.points, 113565, 33
test-546.points, 108024, 35
test-547.points, 98496, 14
test-548.points, 96348, 24
test-549.points, 134459, 30
test-55.points, 88328, 26
test-550.points, 101924, 27
test-551.points, 112845, 60
test-552.points, 128945, 37
test-553.points, 103294, 17
test-554.points, 142817, 24
test-555.points, 109169, 28
test-556.points, 108122, 12
test-557.points, 106152, 46
test-558.points, 91163, 14
test-559.points, 127494, 31
test-56.points, 152589, 27
test-560.points, 111276, 25
test-561.points, 108638, 32
test-562.points, 102818, 39
test-563.points, 88817, 12
test-564.points, 106629, 32
test-565.points, 127789, 24
test-566.points, 109385, 12
test-567.points, 116895, 20
test-568.points, 93757, 21
test-569.points, 108380, 16
test-57.points, 96921, 28
test-570.points, 124780, 38
test-571.points, 85610, 16
test-572.points, 94507, 17
test-573.points, 110126, 20
test-574.points, 101540, 50
test-575.points, 110344, 15
test-576.points, 133149, 17
test-577.points, 115734, 24
test-578.points, 87041, 18
test-579.points, 87755, 32
test-58.points, 109609, 30
test-580.points, 126374, 63
test-581.points, 117206, 17
test-582.points, 102321, 15
test-583.points, 114713, 23
test-584.points, 99184, 19
test-585.points, 129646, 16
test-586.points, 115389, 43
test-587.points, 116573, 26
test-588.points, 118062, 22
test-589.points, 125479, 23
test-59.points, 122642, 17
test-590.points, 103336, 14
test-591.points, 102286, 15
test-592.points, 133881, 28
test-593.points, 96494, 21
test-594.points, 93154, 28
test-595.points, 120920, 19
test-596.points, 127323, 28
test-597.points, 122617, 27
test-598.points, 110423, 20
test-599.points, 122186, 22
test-6.points, 99872, 17
test-60.points, 97360, 19
test-600.points, 101932, 14
test-601.points, 91073, 34
test-602.points, 158515, 41
test-603.points, 88055, 18
test-604.points, 95350, 13
test-605.points, 103608, 40
test-606.points, 102964, 50
test-607.points, 116163, 27
test-608.points, 100008, 29
test-609.points, 115451, 17
test-61.points, 97836, 13
test-610.points, 100985, 11
test-611.points, 87331, 20
test-612.points, 87807, 15
test-613.points, 97932, 23
test-614.points, 120173, 15
test-615.points, 90927, 32
test-616.points, 120885, 18
test-617.points, 102989, 9
test-618.points, 105754, 22
test-619.points, 96231, 29
test-62.points, 133632, 19
test-620.points, 111126, 38
test-621.points, 106454, 16
test-622.points, 99382, 46
test-623.points, 120148, 32
test-624.points, 115635, 29
test-625.points, 100301, 20
test-626.points, 101453, 25
test-627.points, 94256, 30
test-628.points, 90813, 18
test-629.points, 116042, 17
test-63.points, 101564, 23
test-630.points, 92567, 12
test-631.points, 90846, 23
test-632.points, 130124, 27
test-633.points, 87860, 17
test-634.points, 105408, 19
test-635.points, 119643, 48
test-636.points, 127775, 34
test-637.points, 100998, 15
test-638.points, 100535, 12
test-639.points, 104741, 15
test-64.points, 99066, 39
test-640.points, 102082, 35
test-641.points, 105031, 20
test-642.points, 98387, 47
test-643.points, 99738, 22
test-644.points, 100794, 22
test-645.points, 95358, 17
test-646.points, 102331, 20
test-647.points, 105989, 26
test-648.points, 122101, 24
test-649.points, 106003, 44
test-65.points, 97456, 26
test-650.points, 96402, 11
test-651.points, 147194, 34
test-652.points, 100034, 23
test-653.points, 107673, 25
test-654.points, 129670, 23
test-655.points, 100943, 17
test-656.points, 113011, 63
test-657.points, 101804, 34
test-658.points, 114716, 36
test-659.points, 91125, 11
test-66.points, 127603, 17
test-660.points, 110488, 34
test-661.points, 103564, 12
test-662.points, 104879, 28
test-663.points, 116240, 22
test-664.points, 115079, 31
test-665.points, 96106, 21
test-666.points, 100567, 22
test-667.points, 125593, 27
test-668.points, 148428, 28
test-669.points, 94019, 13
test-67.points, 117264, 28
test-670.points, 112503, 16
test-671.points, 94834, 20
test-672.points, 92272, 17
test-673.points, 89395, 32
test-674.points, 101074, 19
test-675.points, 97144, 16
test-676.points, 103832, 17
test-677.points, 96207, 25
test-678.points, 122516, 37
test-679.points, 85697, 10
test-68.points, 99626, 12
test-680.points, 100473, 35
test-681.points, 102178, 19
test-682.points, 120304, 13
test-683.points, 89000, 21
test-684.points, 116660, 40
test-685.points, 124455, 31
test-686.points, 94609, 23
test-687.points, 116029, 34
test-688.points, 106842, 32
test-689.points, 80490, 11
test-69.points, 101093, 17
test-690.points, 108987, 49
test-691.points, 151744, 30
test-692.points, 108934, 20
test-693.points, 122330, 40
test-694.points, 106264, 38
test-695.points, 96525, 30
test-696.points, 123746, 15
test-697.points, 118562, 40
test-698.points, 95383, 33
test-699.points, 84233, 15
test-7.points, 114048, 13
test-70.points, 128513, 33
test-700.points, 112520, 22
test-701.points, 123296, 44
test-702.points, 88182, 10
test-703.points, 101677, 18
test-704.points, 104408, 25
test-705.points, 122182, 13
test-706.points, 111290, 17
test-707.points, 115084, 42
test-708.points, 94257, 25
test-709.points, 100268, 24
test-71.points, 115684, 17
test-710.points, 90967, 20
test-711.points, 118503, 17
test-712.points, 116183, 25
test-713.points, 107850, 16
test-714.points, 106213, 18
test-715.points, 118803, 34
test-716.points, 116984, 35
test-717.points, 89149, 35
test-718.points, 96568, 16
test-719.points, 108990, 17
test-72.points, 103804, 18
test-720.points, 142554, 34
test-721.points, 87484, 20
test-722.points, 98829, 14
test-723.points, 111164, 30
test-724.points, 100790, 24
test-725.points, 112331, 32
test-726.points, 106587, 33
test-727.points, 110179, 23
test-728.points, 91852, 15
test-729.points, 101324, 12
test-73.points, 132049, 22
test-730.points, 83611, 28
test-731.points, 96014, 18
test-732.points, 108714, 22
test-733.points, 105277, 23
test-734.points, 99450, 16
test-735.points, 110101, 43
test-736.points, 97399, 27
test-737.points, 96218, 35
test-738.points, 106648, 34
test-739.points, 107341, 21
test-74.points, 92424, 18
test-740.points, 98100, 29
test-741.points, 125450, 20
test-742.points, 108264, 19
test-743.points, 145165, 25
test-744.points, 98583, 30
test-745.points, 104656, 25
test-746.points, 133748, 13
test-747.points, 126142, 22
test-748.points, 119409, 33
test-749.points, 107851, 16
test-75.points, 98372, 20
test-750.points, 88376, 20
test-751.points, 110234, 40
test-752.points, 95026, 33
test-753.points, 86202, 23
test-754.points, 95243, 15
test-755.points, 124342, 42
test-756.points, 97117, 19
test-757.points, 88237, 19
test-758.points, 100232, 15
test-759.points, 119026, 22
test-76.points, 123970, 25
test-760.points, 136905, 21
test-761.points, 98692, 40
test-762.points, 107465, 31
test-763.points, 89272, 13
test-764.points, 103119, 12
test-765.points, 98141, 20
test-766.points, 127801, 20
test-767.points, 101986, 20
test-768.points, 94293, 15
test-769.points, 96387, 17
test-77.points, 105558, 36
test-770.points, 84577, 14
test-771.points, 109079, 31
test-772.points, 127432, 15
test-773.points, 110374, 24
test-774.points, 123624, 32
test-775.points, 101143, 23
test-776.points, 131029, 30
test-777.points, 94953, 28
test-778.points, 93750, 20
test-779.points, 105366, 10
test-78.points, 114265, 17
test-780.points, 98688, 37
test-781.points, 126334, 31
test-782.points, 86220, 13
test-783.points, 139297, 23
test-784.points, 100626, 15
test-785.points, 142793, 42
test-786.points, 101934, 19
test-787.points, 86923, 14
test-788.points, 121054, 20
test-789.points, 94183, 16
test-79.points, 113327, 48
test-790.points, 97073, 18
test-791.points, 101739, 21
test-792.points, 93010, 24
test-793.points, 112097, 27
test-794.points, 122242, 34
test-795.points, 115139, 25
test-796.points, 97696, 25
test-797.points, 132337, 23
test-798.points, 110442, 39
test-799.points, 103471, 10
test-8.points, 124676, 42
test-80.points, 104442, 9
test-800.points, 103224, 21
test-801.points, 136798, 44
test-802.points, 96283, 23
test-803.points, 107052, 22
test-804.points, 135625, 23
test-805.points, 104184, 23
test-806.points, 84519, 18
test-807.points, 102676, 29
test-808.points, 107795, 29
test-809.points, 134450, 33
test-81.points, 113389, 19
test-810.points, 90178, 20
test-811.points, 119849, 19
test-812.points, 122458, 26
test-813.points, 113705, 30
test-814.points, 110313, 21
test-815.points, 107127, 10
test-816.points, 94295, 18
test-817.points, 102712, 36
test-818.points, 119739, 17
test-819.points, 97857, 33
test-82.points, 122247, 13
test-820.points, 99260, 17
test-821.points, 104915, 27
test-822.points, 103741, 23
test-823.points, 90785, 13
test-824.points, 96926, 16
test-825.points, 89766, 24
test-826.points, 117082, 32
test-827.points, 103624, 46
test-828.points, 94516, 27
test-829.points, 130429, 13
test-83.points, 91695, 17
test-830.points, 101502, 22
test-831.points, 120104, 25
test-832.points, 101102, 38
test-833.points, 118833, 43
test-834.points, 104254, 16
test-835.points, 111635, 34
test-836.points, 95793, 16
test-837.points, 123536, 27
test-838.points, 113444, 21
test-839.points, 138097, 41
test-84.points, 108353, 27
test-840.points, 110880, 21
test-841.points, 124004, 24
test-842.points, 92106, 16
test-843.points, 131232, 27
test-844.points, 96215, 20
test-845.points, 108970, 20
test-846.points, 101703, 12
test-847.points, 103191, 16
test-848.points, 106436, 33
test-849.points, 123092, 33
test-85.points, 107992, 18
test-850.points, 94475, 14
test-851.points, 111237, 27
test-852.points, 91490, 24
test-853.points, 112277, 22
test-854.points, 88516, 26
test-855.points, 92996, 19
test-856.points, 95948, 24
test-857.points, 94853, 19
test-858.points, 104711, 18
test-859.points, 90380, 30
test-86.points, 110291, 20
test-860.points, 117238, 19
test-861.points, 116560, 18
test-862.points, 94353, 33
test-863.points, 102075, 33
test-864.points, 86603, 11
test-865.points, 90667, 17
test-866.points, 137469, 41
test-867.points, 114307, 23
test-868.points, 102794, 71
test-869.points, 97878, 20
test-87.points, 137891, 33
test-870.points, 144067, 38
test-871.points, 99439, 17
test-872.points, 93118, 24
test-873.points, 129668, 17
test-874.points, 110163, 36
test-875.points, 116479, 73
test-876.points, 92816, 18
test-877.points, 115545, 28
test-878.points, 105864, 41
test-879.points, 120380, 37
test-88.points, 138077, 21
test-880.points, 87675, 23
test-881.points, 87335, 15
test-882.points, 110410, 52
test-883.points, 92854, 16
test-884.points, 95553, 38
test-885.points, 110421, 20
test-886.points, 105740, 38
test-887.points, 115473, 46
test-888.points, 92931, 14
test-889.points, 98969, 32
test-89.points, 149152, 37
test-890.points, 106119, 15
test-891.points, 123531, 19
test-892.points, 109036, 38
test-893.points, 117149, 18
test-894.points, 99023, 18
test-895.points, 104010, 19
test-896.points, 127494, 21
test-897.points, 84369, 13
test-898.points, 116807, 43
test-899.points, 109119, 20
test-9.points, 107776, 38
test-90.points, 87764, 15
test-900.points, 104593, 15
test-901.points, 113654, 36
test-902.points, 101172, 14
test-903.points, 109221, 18
test-904.points, 127837, 44
test-905.points, 106092, 24
test-906.points, 98664, 15
test-907.points, 127456, 15
test-908.points, 99564, 21
test-909.points, 104308, 17
test-91.points, 104542, 25
test-910.points, 98449, 13
test-911.points, 106783, 24
test-912.points, 101720, 17
test-913.points, 122066, 31
test-914.points, 107992, 38
test-915.points, 137593, 31
test-916.points, 104282, 19
test-917.points, 120235, 23
test-918.points, 128495, 45
test-919.points, 103074, 20
test-92.points, 135909, 34
test-920.points, 97177, 23
test-921.points, 116210, 28
test-922.points, 133812, 26
test-923.points, 110194, 14
test-924.points, 98451, 17
test-925.points, 99290, 13
test-926.points, 109769, 24
test-927.points, 105009, 26
test-928.points, 114791, 25
test-929.points, 104106, 34
test-93.points, 112159, 18
test-930.points, 94959, 26
test-931.points, 125012, 26
test-932.points, 112424, 13
test-933.points, 104951, 15
test-934.points, 114804, 15
test-935.points, 94590, 24
test-936.points, 94596, 22
test-937.points, 103620, 16
test-938.points, 108620, 22
test-939.points, 88074, 17
test-94.points, 88321, 29
test-940.points, 114463, 27
test-941.points, 89799, 17
test-942.points, 101090, 15
test-943.points, 116834, 22
test-944.points, 99613, 24
test-945.points, 89084, 15
test-946.points, 84294, 14
test-947.points, 93973, 17
test-948.points, 111055, 24
test-949.points, 92205, 19
test-95.points, 126872, 27
test-950.points, 99990, 23
test-951.points, 122284, 22
test-952.points, 108074, 16
test-953.points, 130109, 32
test-954.points, 104749, 23
test-955.points, 109652, 26
test-956.points, 95962, 16
test-957.points, 91760, 31
test-958.points, 118382, 26
test-959.points, 89177, 23
test-96.points, 105861, 35
test-960.points, 101242, 16
test-961.points, 134208, 29
test-962.points, 98064, 26
test-963.points, 110007, 18
test-964.points, 96321, 15
test-965.points, 98110, 21
test-966.points, 94472, 12
test-967.points, 94100, 22
test-968.points, 109117, 24
test-969.points, 144969, 40
test-97.points, 88233, 18
test-970.points, 111370, 24
test-971.points, 96993, 24
test-972.points, 116858, 35
test-973.points, 95716, 29
test-974.points, 99993, 20
test-975.points, 97990, 26
test-976.points, 116420, 30
test-977.points, 105361, 26
test-978.points, 121046, 14
test-979.points, 134509, 45
test-98.points, 87735, 12
test-980.points, 101710, 20
test-981.points, 102560, 21
test-982.points, 129698, 49
test-983.points, 89224, 13
test-984.points, 92998, 29
test-985.points, 110830, 22
test-986.points, 110916, 50
test-987.points, 105557, 19
test-988.points, 116146, 22
test-989.points, 114661, 12
test-99.points, 111001, 18
test-990.points, 98289, 13
test-991.points, 93309, 51
test-992.points, 113847, 30
test-993.points, 135297, 19
test-994.points, 104912, 32
test-995.points, 112189, 21
test-996.points, 137404, 35
test-997.points, 107950, 54
test-998.points, 117956, 28
test-999.points, 109967, 22
